woreda,zone,epi_year,epi_week,popul_tot,popul_malar,mal_inp,mal_outp,rdt_done,rdt_pf_tot,rdt_pv_only,bf_done,bf_pf_tot,bf_pv_only
Mecha,West Gojjam,2015,5,370028,370028,0,47,139,19,2,379,12,14
Mecha,West Gojjam,2015,6,370028,370028,0,30,73,8,1,444,9,12
Mecha,West Gojjam,2015,7,370028,370028,0,35,138,12,12,295,6,5
Mecha,West Gojjam,2015,8,370028,370028,0,27,160,6,8,366,7,6
Mecha,West Gojjam,2015,9,370028,370028,0,39,113,6,4,332,4,25
Mecha,West Gojjam,2015,10,370028,370028,0,11,113,4,1,335,2,4
Mecha,West Gojjam,2015,11,370028,370028,0,24,132,3,11,772,2,8
Mecha,West Gojjam,2015,12,370028,370028,0,25,108,0,4,447,9,12
Mecha,West Gojjam,2015,13,370028,370028,0,20,70,0,2,460,5,13
Mecha,West Gojjam,2015,14,370028,370028,0,23,79,1,3,542,4,15
Mecha,West Gojjam,2015,15,370028,370028,0,27,142,3,8,358,4,12
Mecha,West Gojjam,2015,16,370028,370028,0,12,57,1,0,248,4,7
Mecha,West Gojjam,2015,17,370028,370028,0,34,222,1,10,344,10,13
Mecha,West Gojjam,2015,18,370028,370028,0,18,48,2,1,532,6,9
Mecha,West Gojjam,2015,19,370028,370028,0,34,139,5,8,358,3,18
Mecha,West Gojjam,2015,20,370028,370028,0,56,248,18,16,551,11,11
Mecha,West Gojjam,2015,21,370028,370028,0,94,323,44,23,615,6,21
Mecha,West Gojjam,2015,22,370028,370028,0,50,249,21,11,463,7,11
Mecha,West Gojjam,2015,23,370028,370028,0,75,314,19,30,666,12,14
Mecha,West Gojjam,2015,24,370028,370028,1,78,308,29,13,578,19,18
Mecha,West Gojjam,2015,25,370028,370028,0,74,368,28,15,633,13,18
Mecha,West Gojjam,2015,26,370028,370028,0,54,175,18,11,550,12,13
Mecha,West Gojjam,2015,27,370028,370028,0,51,180,10,11,700,13,17
Mecha,West Gojjam,2015,28,377231.9516,377231.9516,0,35,154,5,9,503,9,12
Mecha,West Gojjam,2015,29,377231.9516,377231.9516,0,23,82,6,4,364,3,10
Mecha,West Gojjam,2015,30,377231.9516,377231.9516,0,34,83,3,4,581,12,15
Mecha,West Gojjam,2015,31,377231.9516,377231.9516,0,22,108,0,7,412,6,9
Mecha,West Gojjam,2015,32,377231.9516,377231.9516,0,28,101,4,3,478,8,13
Mecha,West Gojjam,2015,33,377231.9516,377231.9516,0,29,71,7,9,463,3,10
Mecha,West Gojjam,2015,34,377231.9516,377231.9516,0,25,119,3,5,302,5,12
Mecha,West Gojjam,2015,35,377231.9516,377231.9516,0,34,114,6,12,402,10,6
Mecha,West Gojjam,2015,36,377231.9516,377231.9516,0,24,65,6,6,383,4,8
Mecha,West Gojjam,2015,37,377231.9516,377231.9516,0,20,51,4,2,297,9,5
Mecha,West Gojjam,2015,38,377231.9516,377231.9516,0,34,106,15,2,549,11,6
Mecha,West Gojjam,2015,39,377231.9516,377231.9516,0,52,165,22,9,447,9,12
Mecha,West Gojjam,2015,40,377231.9516,377231.9516,0,48,115,2,6,496,20,20
Mecha,West Gojjam,2015,41,377231.9516,377231.9516,0,61,158,28,4,481,16,13
Mecha,West Gojjam,2015,42,377231.9516,377231.9516,0,42,163,19,7,541,9,7
Mecha,West Gojjam,2015,43,377231.9516,377231.9516,0,39,191,5,10,593,9,15
Mecha,West Gojjam,2015,44,377231.9516,377231.9516,0,32,179,8,9,522,8,7
